model,family,preprocessor,n_folds,n_errors,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,fit_time_sec_mean,fit_time_sec_std,predict_time_sec_mean,predict_time_sec_std,run_id,scenario,scenario_description,seed
logistic_regression,linear,standard,3,0,0.8313333333333333,0.012858201014657285,0.8287301587301587,0.01709870858348601,0.6814888430982816,0.01774189265274698,0.8222222222222223,0.03168128317640724,0.7451230992897658,0.020558361697469347,0.9086063492063493,0.008001666965404561,0.1787592666666266,0.034602415805905146,0.04709936666677095,0.00018734797396757598,20260429_110129,baseline,Dataset assurance standard.,0
linear_svc,svm,standard,3,0,0.8290000000000001,0.01212435565298215,0.8254761904761905,0.018174949743697804,0.6787089881007945,0.015468662374086933,0.8166666666666665,0.0371184290855335,0.7411130744151734,0.02115438637077311,0.9090857142857143,0.0066189122973491525,0.1402982333335482,0.00652379516004254,0.045311133333598264,0.000364011048072585,20260429_110129,baseline,Dataset assurance standard.,0
ridge_classifier,linear,standard,3,0,0.8256666666666667,0.008736894948054113,0.8230952380952381,0.010353721383408997,0.6729103160286428,0.017202000089752603,0.8166666666666665,0.027284509239574848,0.737550186234737,0.011945438902246957,0.9078920634920635,0.007159748810079254,0.12454376666664757,0.0022170460012197737,0.045504699999582954,0.0007083502736986785,20260429_110129,baseline,Dataset assurance standard.,0
mlp,neural_network,standard,3,0,0.8403333333333333,0.006658328118479399,0.7923015873015874,0.006565272018296402,0.7669221825624605,0.015712822113436248,0.6722222222222222,0.0069388866648871445,0.7164343875593381,0.010329389172585886,0.9076873015873016,0.007617172884431737,0.4047205666665832,0.030879804960867178,0.04758923333368633,0.0004294913310959131,20260429_110129,baseline,Dataset assurance standard.,0
sgd_classifier,linear,standard,3,0,0.7756666666666666,0.0604676221901716,0.8067460317460317,0.02230017506684849,0.5987483823482563,0.10077445424865532,0.8844444444444445,0.07618204318409758,0.7067328782485033,0.04169965175249317,0.9007682539682541,0.011580772568048478,0.12676676666675726,0.0048380353167822646,0.045310833333132905,0.0010337008770771442,20260429_110129,baseline,Dataset assurance standard.,0
random_forest,ensemble_tree,standard,3,0,0.7913333333333333,0.001527525231651948,0.6801587301587301,0.006327841036596099,0.8053906823872562,0.020002221806120518,0.40222222222222226,0.019531550923607716,0.5360855373965218,0.013480185582468532,0.869829365079365,0.009114472411051606,0.46774153333293117,0.011682564831213852,0.08403326666666544,0.0007262080165613197,20260429_110129,baseline,Dataset assurance standard.,0
dummy,baseline,standard,3,0,0.6999999999999998,1.3597399555105182e-16,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.1008822999995876,0.0025827180339288943,0.04558300000038192,0.0005806187816956385,20260429_110129,baseline,Dataset assurance standard.,0
hist_gradient_boosting,boosting,dense,3,3,,,,,,,,,,,,,,,,,20260429_110129,baseline,Dataset assurance standard.,0
ridge_classifier,linear,standard,3,0,0.8236666666666667,0.010066445913694341,0.822936507936508,0.01394297857523668,0.6675464326718087,0.012602671239188996,0.8211111111111111,0.025239592648001186,0.7363504778707232,0.016450229442808738,0.9084920634920635,0.00993676644016908,0.12532126666671198,0.0002254427276590195,0.04717703333335521,0.0020260407456155873,20260429_110129,baseline,Dataset assurance standard.,1
logistic_regression,linear,standard,3,0,0.8233333333333333,0.009291573243177578,0.8223809523809523,0.011744154719179488,0.6673003418931397,0.012723184943401,0.82,0.019999999999999962,0.7357667202732346,0.014329757282875355,0.9097317460317461,0.009560625665412005,0.1687211666667281,0.01634492520784276,0.056407633333037666,0.009172459506711434,20260429_110129,baseline,Dataset assurance standard.,1
linear_svc,svm,standard,3,0,0.824,0.014730919862656188,0.8206349206349207,0.01702727792395552,0.6707536237446,0.02115740038849443,0.8122222222222222,0.024570382652773292,0.734691633933456,0.021548171479197412,0.9111158730158729,0.00900908376723288,0.14158110000031834,0.0023238461134724364,0.04519616666645258,7.568892509620507e-05,20260429_110129,baseline,Dataset assurance standard.,1
mlp,neural_network,standard,3,0,0.8366666666666666,0.009073771725877476,0.7925396825396825,0.00787635937708765,0.7544100366872583,0.04738200651800238,0.6822222222222222,0.04299009360478468,0.7146959204053424,0.0072742279389385045,0.9034428571428572,0.008471717653463266,0.5033393999998831,0.1768490882308743,0.04819403333325075,0.000939326377211693,20260429_110129,baseline,Dataset assurance standard.,1
sgd_classifier,linear,standard,3,0,0.7926666666666667,0.051013070220614375,0.776031746031746,0.01223895988545816,0.6766381922551982,0.1540892628361732,0.7344444444444443,0.16671110518676494,0.6805493155135175,0.0067563652974275915,0.897215873015873,0.01246544642190374,0.13095363333347146,0.0038591444705145172,0.04659576666654175,0.0005182742742654151,20260429_110129,baseline,Dataset assurance standard.,1
