model,family,preprocessor,fold,seed,status,error,warnings,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,fit_time_sec,predict_time_sec,run_id,scenario,scenario_description
dummy,baseline,standard,1,0,ok,,,0.7,0.5,0.0,0.0,0.0,0.5,0.10378810000020167,0.046065700000326615,20260429_110129,baseline,Dataset assurance standard.
dummy,baseline,standard,2,0,ok,,,0.7,0.5,0.0,0.0,0.0,0.5,0.10001049999937095,0.04574460000003455,20260429_110129,baseline,Dataset assurance standard.
dummy,baseline,standard,3,0,ok,,,0.7,0.5,0.0,0.0,0.0,0.5,0.0988482999991902,0.04493870000078459,20260429_110129,baseline,Dataset assurance standard.
logistic_regression,linear,standard,1,0,ok,,,0.826,0.8157142857142857,0.6810344827586207,0.79,0.7314814814814815,0.9061523809523809,0.15603319999991072,0.04725830000006681,20260429_110129,baseline,Dataset assurance standard.
logistic_regression,linear,standard,2,0,ok,,,0.846,0.8480952380952381,0.6994535519125683,0.8533333333333334,0.7687687687687688,0.9175476190476191,0.16166229999998905,0.04714700000022276,20260429_110129,baseline,Dataset assurance standard.
logistic_regression,linear,standard,3,0,ok,,,0.822,0.8223809523809524,0.6639784946236559,0.8233333333333334,0.7351190476190477,0.9021190476190475,0.21858229999998002,0.04689280000002327,20260429_110129,baseline,Dataset assurance standard.
ridge_classifier,linear,standard,1,0,ok,,,0.828,0.8161904761904761,0.686046511627907,0.7866666666666666,0.7329192546583851,0.9029,0.12292789999992237,0.04580479999913223,20260429_110129,baseline,Dataset assurance standard.
ridge_classifier,linear,standard,2,0,ok,,,0.833,0.835,0.6792452830188679,0.84,0.7511177347242921,0.9160952380952381,0.127071299999443,0.0460136000001512,20260429_110129,baseline,Dataset assurance standard.
ridge_classifier,linear,standard,3,0,ok,,,0.816,0.8180952380952381,0.6534391534391535,0.8233333333333334,0.7286135693215339,0.9046809523809524,0.12363210000057734,0.04469569999946543,20260429_110129,baseline,Dataset assurance standard.
sgd_classifier,linear,standard,1,0,ok,,,0.758,0.8052380952380953,0.5584677419354839,0.9233333333333333,0.6959798994974874,0.8906142857142858,0.12279630000011821,0.04597430000012537,20260429_110129,baseline,Dataset assurance standard.
sgd_classifier,linear,standard,2,0,ok,,,0.843,0.8297619047619047,0.7134328358208956,0.7966666666666666,0.752755905511811,0.9133809523809524,0.12534859999959735,0.045838399999411195,20260429_110129,baseline,Dataset assurance standard.
sgd_classifier,linear,standard,3,0,ok,,,0.726,0.7852380952380953,0.5243445692883895,0.9333333333333333,0.6714628297362111,0.8983095238095238,0.13215540000055626,0.04411979999986215,20260429_110129,baseline,Dataset assurance standard.
linear_svc,svm,standard,1,0,ok,,,0.822,0.809047619047619,0.6773255813953488,0.7766666666666666,0.7236024844720497,0.9072,0.13920950000010635,0.04552880000028381,20260429_110129,baseline,Dataset assurance standard.
linear_svc,svm,standard,2,0,ok,,,0.843,0.845,0.6948228882833788,0.85,0.7646176911544228,0.9164428571428571,0.134387300000526,0.04551369999990129,20260429_110129,baseline,Dataset assurance standard.
